LoanNumber,DateApproved,SBAOfficeCode,ProcessingMethod,BorrowerName,BorrowerAddress,BorrowerCity,BorrowerState,BorrowerZip,LoanStatusDate,LoanStatus,Term,SBAGuarantyPercentage,InitialApprovalAmount,CurrentApprovalAmount,UndisbursedAmount,FranchiseName,ServicingLenderLocationID,ServicingLenderName,ServicingLenderAddress,ServicingLenderCity,ServicingLenderState,ServicingLenderZip,RuralUrbanIndicator,HubzoneIndicator,LMIIndicator,BusinessAgeDescription,ProjectCity,ProjectCountyName,ProjectState,ProjectZip,CD,JobsReported,NAICSCode,Race,Ethnicity,UTILITIES_PROCEED,PAYROLL_PROCEED,MORTGAGE_INTEREST_PROCEED,RENT_PROCEED,REFINANCE_EIDL_PROCEED,HEALTH_CARE_PROCEED,DEBT_INTEREST_PROCEED,BusinessType,OriginatingLenderLocationID,OriginatingLender,OriginatingLenderCity,OriginatingLenderState,Gender,Veteran,NonProfit,ForgivenessAmount,ForgivenessDate
7723767201,04/28/2020,373,PPP,AMERICAN STANDARD JEWELERS INC,10300 Little Patuxent Parkway,Columbia,MD,21044,03/20/2021,Paid in Full,24,100,154847.5,154847.5,0.0,,113190,American Express National Bank,115 West Towne Ridge Parkway,Sandy,UT,84070,U,N,N,Existing or more than 2 years old,Columbia,HOWARD,MD,21044-0020,MD-07,18.0,448310.0,Unanswered,Unknown/NotStated,7742.38,108393.24,0.0,30969.5,,7742.38,0.0,Subchapter S Corporation,113190,American Express National Bank,Sandy,UT,Unanswered,Unanswered,,156026.89,02/11/2021
2080818409,02/03/2021,189,PPS,MCDOWELL AND MORRISSETTE PA,282 River Rd,Manchester,NH,03104-2423,10/22/2021,Paid in Full,60,100,174430.0,174430.0,0.0,,434162,"Citizens Bank, National Association",1 Citizens Plaza,PROVIDENCE,RI,02903-1344,U,N,N,Existing or more than 2 years old,Manchester,HILLSBOROUGH,NH,03104-2423,NH-01,14.0,922130.0,White,Not Hispanic or Latino,1.0,174424.0,,,,,,Subchapter S Corporation,434162,"Citizens Bank, National Association",PROVIDENCE,RI,Male Owned,Non-Veteran,,175443.13,09/09/2021
2624537106,04/11/2020,358,PPP,"BRUNO PLUMBING & HEATING, INC.",65 Campbell Ave,WASHINGTON,PA,15301-5207,03/20/2021,Paid in Full,24,100,178486.0,178486.0,0.0,,56102,KeyBank National Association,127 Public Sq,CLEVELAND,OH,44114-1217,R,N,Y,Unanswered,WASHINGTON,WASHINGTON,PA,15301-5207,PA-14,13.0,238220.0,Unanswered,Unknown/NotStated,,178486.0,,,,,,Subchapter S Corporation,56102,KeyBank National Association,CLEVELAND,OH,Unanswered,Unanswered,,169580.0,12/23/2020
7606948302,01/28/2021,299,PPS,"DELTA AUTOMOTIVE SERVICES, INC.",125 Foothill Rd,Bound Brook,NJ,08805-1138,09/29/2021,Paid in Full,60,100,1747834.0,1747834.0,0.0,,117644,Unity Bank,64 Old Hwy 22,CLINTON,NJ,08809-1305,U,N,N,Existing or more than 2 years old,Bound Brook,SOMERSET,NJ,08805-1138,NJ-07,106.0,484110.0,Unanswered,Unknown/NotStated,1.0,1747830.0,,,,,,Corporation,117644,Unity Bank,CLINTON,NJ,Unanswered,Unanswered,,1757301.43,08/18/2021
5894768301,01/26/2021,373,PPS,THE HIGHLAND CONSULTING GROUP INC.,933 S Talbot St Ste 15,Saint Michaels,MD,21663-2605,02/19/2022,Paid in Full,60,100,343075.0,343075.0,0.0,,188567,Loan Source Incorporated,353 East 83rd Street Suite 3H,NEW YORK,NY,10028,R,N,N,Existing or more than 2 years old,Saint Michaels,TALBOT,MD,21663-2605,MD-01,16.0,541611.0,White,Not Hispanic or Latino,1.0,343069.0,,,,,,Corporation,122873,EagleBank,BETHESDA,MD,Male Owned,Veteran,,346167.37,12/27/2021
7498187000,04/07/2020,944,PPP,"JADE ASSISTED LIVING AT OAKEY, LLC",3900 W Oakey Blvd.,LAS VEGAS,NV,89102-0514,11/13/2021,Paid in Full,24,100,249000.0,249000.0,0.0,,123439,Parke Bank,601 Delsea Dr,SEWELL,NJ,08080-9325,U,N,N,New Business or 2 years or less,LAS VEGAS,CLARK,NV,89102-0514,NV-01,35.0,623312.0,Unanswered,Unknown/NotStated,,249000.0,,,,,,Limited  Liability Company(LLC),123439,Parke Bank,SEWELL,NJ,Unanswered,Unanswered,,252769.58,10/15/2021
4013217703,05/01/2020,914,PPP,CHEETAH SOFTWARE SYSTEMS INC,31280 OAK CREST DR. STE 3,WESTLAKE VILLAGE,CA,91361,04/10/2021,Paid in Full,24,100,753186.0,753186.0,0.0,,12096,"Wells Fargo Bank, National Association",101 N Philips Ave,SIOUX FALLS,SD,57104-6738,U,N,N,Existing or more than 2 years old,WESTLAKE VILLAGE,VENTURA,CA,91361-1000,CA-26,35.0,541511.0,Unanswered,Unknown/NotStated,,753186.0,,,,,,Corporation,12096,"Wells Fargo Bank, National Association",SIOUX FALLS,SD,Unanswered,Unanswered,,759376.57,03/03/2021
5342757010,04/05/2020,914,PPP,"GRUB WHITTIER, LLC",13815 Whittier Blvd,WHITTIER,CA,90605-1907,07/16/2021,Paid in Full,24,100,175892.0,175892.0,0.0,,68992,American State Bank,102 Front St,ARP,TX,75750,U,N,N,Existing or more than 2 years old,WHITTIER,LOS ANGELES,CA,90605-1907,CA-38,38.0,722511.0,Unanswered,Unknown/NotStated,,175892.0,,,,,,Limited  Liability Company(LLC),68992,American State Bank,ARP,TX,Unanswered,Unanswered,,177992.93,06/11/2021
1996757403,05/05/2020,1086,PPP,"SHOWPLACE LANDSCAPE SERVICES, INC.",PO Box 746,Wilsonville,OR,97070,09/24/2021,Paid in Full,24,100,1048387.5,1048387.5,0.0,,456756,Cross River Bank,885 Teaneck Rd,TEANECK,NJ,07666-4546,U,N,N,Unanswered,Wilsonville,CLACKAMAS,OR,97070-0001,OR-05,123.0,561730.0,Unanswered,Unknown/NotStated,,1048387.5,,,,,,Subchapter S Corporation,456756,Cross River Bank,TEANECK,NJ,Unanswered,Unanswered,,1061916.01,08/30/2021
1196697705,05/01/2020,507,PPP,"TOWER WARRIORS CONSTRUCTION, INC.",509 BERNIE CT,NAPERVILLE,IL,60565,06/23/2021,Paid in Full,24,100,210445.0,210445.0,0.0,,48270,"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240-2031,U,N,N,Existing or more than 2 years old,NAPERVILLE,WILL,IL,60565-1101,IL-11,28.0,236115.0,Unanswered,Unknown/NotStated,1942.0,188923.0,,6000.0,,13580.0,,Subchapter S Corporation,48270,"JPMorgan Chase Bank, National Association",COLUMBUS,OH,Unanswered,Unanswered,,212547.46,05/04/2021
